suburb,MODE,stop_count,School_Type,school_count,region,Housing_Type,timestamp,Latest_Median,Forecasted_Next_Quarter
Carnegie,METRO TRAM,8.0,Primary,3.0,Southern Melbourne,4 bedroom house,2025-03-01,1000.0,1075.0
Carnegie,METRO TRAM,8.0,Primary,3.0,Southern Melbourne,All properties,2025-03-01,550.0,610.0
Carngham,,,,,,,,,
Caroline Springs,METRO BUS,57.0,Pri/Sec,3.0,,,,,
Caroline Springs,METRO BUS,57.0,Primary,3.0,,,,,
Caroline Springs,METRO BUS,57.0,Secondary,2.0,,,,,
Carpendeit,,,,,,,,,
Carrajung,,,,,,,,,
Carrajung Lower,REGIONAL BUS,2.0,,,,,,,
Carrajung South,,,,,,,,,
Carranballac,,,,,,,,,
Carron,,,,,,,,,
Carrum,METRO BUS,19.0,Primary,1.0,,,,,
Carrum,METRO TRAIN,2.0,Primary,1.0,,,,,
Carrum Downs,METRO BUS,74.0,Primary,3.0,,,,,
Carrum Downs,METRO BUS,74.0,Secondary,1.0,,,,,
Carwarp,,,,,,,,,
Cashmore,,,,,,,,,
Cassilis,,,,,,,,,
Castella,,,,,,,,,
Casterton,REGIONAL COACH,2.0,Primary,2.0,,,,,
Casterton,REGIONAL COACH,2.0,Secondary,1.0,,,,,
Castle Creek,,,,,,,,,
Castle Donnington,,,,,,,,,
Castlemaine,REGIONAL BUS,35.0,Primary,4.0,Other Regional Centres,1 bedroom flat,2024-12-01,300.0,275.0
Castlemaine,REGIONAL BUS,35.0,Primary,4.0,Other Regional Centres,2 bedroom flat,2025-03-01,385.0,360.0
Castlemaine,REGIONAL BUS,35.0,Primary,4.0,Other Regional Centres,2 bedroom house,2025-03-01,430.0,385.0
Castlemaine,REGIONAL BUS,35.0,Primary,4.0,Other Regional Centres,3 bedroom flat,2014-12-01,300.0,450.0
Castlemaine,REGIONAL BUS,35.0,Primary,4.0,Other Regional Centres,3 bedroom house,2025-03-01,480.0,450.0
Castlemaine,REGIONAL BUS,35.0,Primary,4.0,Other Regional Centres,4 bedroom house,2025-03-01,550.0,555.0
Castlemaine,REGIONAL BUS,35.0,Primary,4.0,Other Regional Centres,All properties,2025-03-01,460.0,440.0
Castlemaine,REGIONAL BUS,35.0,Secondary,1.0,Other Regional Centres,1 bedroom flat,2024-12-01,300.0,275.0
Castlemaine,REGIONAL BUS,35.0,Secondary,1.0,Other Regional Centres,2 bedroom flat,2025-03-01,385.0,360.0
Castlemaine,REGIONAL BUS,35.0,Secondary,1.0,Other Regional Centres,2 bedroom house,2025-03-01,430.0,385.0
Castlemaine,REGIONAL BUS,35.0,Secondary,1.0,Other Regional Centres,3 bedroom flat,2014-12-01,300.0,450.0
Castlemaine,REGIONAL BUS,35.0,Secondary,1.0,Other Regional Centres,3 bedroom house,2025-03-01,480.0,450.0
Castlemaine,REGIONAL BUS,35.0,Secondary,1.0,Other Regional Centres,4 bedroom house,2025-03-01,550.0,555.0
Castlemaine,REGIONAL BUS,35.0,Secondary,1.0,Other Regional Centres,All properties,2025-03-01,460.0,440.0
